File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
433, 1575360469, 10342944, 1662380606, 10963443
434, 1585443412, 10438218, 1673054262, 10965969
435, 1595571061, 10486198, 1683775297, 11111747
436, 1605734844, 10582010, 1694535113, 11162553
437, 1615994840, 10630308, 1705393821, 11261344
438, 1626303980, 10727565, 1716304357, 11264126
439, 1636618301, 10776197, 1727222791, 11314860
43, 4774862, 4645, 4860032, 4645
440, 1646991089, 10873552, 1738202353, 11464262
441, 1657406995, 10922954, 1749227759, 11566383
442, 1667821610, 11021749, 1760254567, 11568951
443, 1678364631, 11071501, 1771412489, 11720072
444, 1688899456, 11170860, 1782564951, 11772711
445, 1699447012, 11220919, 1793732859, 11875079
446, 1710095845, 11321732, 1805004795, 11877906
447, 1720764150, 11372141, 1816298916, 11930454
448, 1731482808, 11473056, 1827646164, 12085259
449, 1742240119, 11524262, 1839034795, 12191037
44, 5027202, 4800, 5118312, 4801
450, 1753049702, 11626644, 1850478440, 12193651
451, 1763891253, 11678189, 1861956842, 12350198
452, 1774765315, 11781133, 1873470510, 12404676
453, 1785735136, 11833011, 1885082710, 12510709
454, 1796678767, 11937449, 1896671501, 12513587
455, 1807752688, 11989667, 1908393381, 12567982
456, 1818801206, 12094217, 1920092627, 12728296
457, 1829938033, 12147235, 1931882992, 12837772
458, 1841108236, 12253283, 1943709531, 12840446
459, 1852298877, 12306649, 1955559314, 13002512
45, 5285978, 4847, 5383292, 4848
460, 1863579384, 12413261, 1967501779, 13058880
461, 1874880554, 12466974, 1979467780, 13168626
462, 1886229829, 12575101, 1991484655, 13171555
463, 1897603276, 12629178, 2003528553, 13227847
464, 1909066988, 12737406, 2015665583, 13393745
465, 1920563948, 12792282, 2027838680, 13506997
466, 1932087655, 12902029, 2040041362, 13509700
467, 1943635430, 12957276, 2052270993, 13677409
468, 1955267433, 13067606, 2064587689, 13735685
469, 1966936175, 13123198, 2076944003, 13849220
46, 5555519, 4959, 5659319, 4959
470, 1978644462, 13235070, 2089342771, 13852192
471, 1990421327, 13291019, 2101812967, 13910394
472, 2002255995, 13403007, 2114343870, 14081990
473, 2014036289, 13459776, 2126823276, 14199085
474, 2026002246, 13573304, 2139491259, 14201835
475, 2037933152, 13630444, 2152127095, 14375263
476, 2049899991, 13744581, 2164801752, 14435504
477, 2061962915, 13802068, 2177575439, 14552876
478, 2074044896, 13917752, 2190371122, 14555894
479, 2086207764, 13975598, 2203250602, 14616031
47, 5828134, 5008, 5938712, 5009
480, 2098344312, 14091404, 2216106704, 14793415
481, 2110560970, 14150098, 2229045850, 14914417
482, 2122881290, 14267483, 2242091601, 14917226
483, 2135173938, 14326542, 2255112648, 15096463
484, 2147501297, 14444520, 2268171383, 15158671
485, 2159938239, 14503947, 2281342627, 15279957
486, 2172360521, 14623518, 2294502205, 15283032
487, 2184893845, 14683307, 2307775790, 15345150
488, 2197446550, 14802994, 2321071741, 15528417
489, 2210030864, 14863636, 2334402287, 15653381
48, 6113409, 5193, 6231031, 5194
490, 2222727651, 14984927, 2347848321, 15656234
491, 2235388467, 15045953, 2361261378, 15841392
492, 2248168772, 15167846, 2374796924, 15905609
493, 2260951494, 15229233, 2388337921, 16030861
494, 2273740609, 15352761, 2401888285, 16033999
495, 2286670270, 15414517, 2415582278, 16098122
496, 2299566705, 15538151, 2429246058, 16287370
497, 2312577941, 15600779, 2443027658, 16416366
498, 2325639887, 15726040, 2456863022, 16419263
499, 2338676722, 15789054, 2470676338, 16610427
49, 6401723, 5245, 6526697, 5246
500, 2351818469, 15914926, 2484597607, 16676685
50, 6708882, 5357, 6841506, 5358
51, 7008084, 5420, 7148675, 5420
52, 7323946, 5613, 7472790, 5613
53, 7645775, 5667, 7803209, 5669
54, 7976103, 5784, 8142443, 5784
55, 8325947, 5846, 8501531, 5847
56, 8680236, 6062, 8865390, 6062
57, 9033320, 6118, 9228398, 6119
58, 9405556, 6243, 9610906, 6245
59, 9774849, 6307, 9990813, 6309
60, 10167213, 6537, 10394162, 6538
61, 10562106, 6601, 10800396, 10938
62, 10963519, 36992, 11213527, 37002
63, 11375368, 38111, 11637466, 38111
64, 11802267, 40302, 12076851, 40302
65, 12227174, 41536, 12514624, 41536
