File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
302, 587014345, 3552110, 623904201, 280944
303, 592260979, 3575374, 634798900, 431086
304, 597589838, 3621970, 640500398, 429057
305, 602888147, 3645770, 640792276, 290063
306, 608255212, 3693365, 645158265, 261367
307, 613644830, 3717405, 652235281, 298637
308, 619089739, 3765382, 658026418, 289906
309, 624535546, 3789644, 661086114, 231831
30, 2181086, 3430, 2210872, 3431
310, 630020523, 3838648, 666903891, 233071
311, 635554402, 3863148, 672772587, 233802
312, 641093957, 3912214, 681436103, 296916
313, 646696898, 3937258, 693058151, 452670
314, 652291187, 3987357, 715081483, 926329
315, 657964501, 4012654, 724242001, 1088113
316, 663618244, 4063139, 730412640, 1087090
317, 669383145, 4088677, 718797387, 503085
318, 675122902, 4140203, 719089390, 345406
319, 680880042, 4165971, 722303510, 279404
31, 2334124, 3475, 2366886, 3475
320, 686696212, 4217576, 725560584, 4743381
321, 692548417, 4243902, 734698315, 282558
322, 698437385, 4296562, 740953655, 282613
323, 704374998, 4323150, 750253700, 354556
324, 710313419, 4376213, 756581046, 354339
325, 716295659, 4403030, 758415194, 4527979
326, 722280145, 4457164, 767805273, 323580
327, 728316690, 4484241, 783513867, 574988
328, 734378989, 4538444, 790020477, 579240
329, 740542689, 4566087, 790347048, 411427
32, 2504990, 3620, 2540924, 3621
330, 746680244, 4621377, 790648956, 257789
331, 752840700, 4649276, 801892003, 376832
332, 759050519, 4704979, 808508311, 376628
333, 765312207, 4733124, 815178715, 379317
334, 771574867, 4789923, 818653507, 305115
335, 777876164, 4818325, 825349022, 306007
336, 784247766, 4875207, 830505726, 4624569
337, 790631026, 4904187, 838898860, 305747
338, 797067687, 4962169, 849011261, 395260
339, 803453749, 4991424, 862464980, 582422
33, 2677389, 3692, 2716675, 3696
340, 809967365, 5049821, 884760863, 1003598
341, 816464319, 5079327, 904063343, 1427614
342, 823039118, 5138861, 911263670, 1582068
343, 829620199, 5168625, 899107528, 861864
344, 836236095, 5228227, 894156963, 479151
345, 842874730, 5258594, 896113579, 358412
346, 849562920, 5319326, 901517568, 328034
347, 856287679, 5349966, 906945672, 3006765
348, 863055089, 5411133, 917585807, 369287
349, 869829682, 5442029, 924795603, 371815
34, 2851126, 3836, 2893986, 3836
350, 876682315, 5504346, 935604391, 456473
351, 883512440, 5535513, 944670849, 511583
352, 890396752, 5597905, 952027205, 509399
353, 897362802, 5629684, 952310797, 333575
354, 904345718, 5693249, 961522190, 374082
355, 911313204, 5725303, 979854462, 670087
356, 918342317, 5789292, 991094543, 775727
357, 925425477, 5821614, 998712574, 780793
358, 932547170, 5886782, 993371023, 429651
359, 939723033, 5919379, 997325967, 348193
35, 3034513, 3889, 3081165, 3890
360, 946894390, 5984640, 1006800287, 387518
361, 954139139, 6017854, 1020126416, 524209
362, 961376637, 6084297, 1027860187, 525986
363, 968664481, 6117795, 1029966964, 400132
364, 976023886, 6184689, 1039695118, 446142
365, 983400228, 6218469, 1047554440, 449086
366, 990795542, 6286560, 1051601995, 367024
367, 998238544, 6320600, 1059512062, 2869813
368, 1005762393, 6388785, 1069440137, 403799
369, 1013256339, 6423481, 1081322298, 507231
36, 3230437, 4071, 3281080, 4071
370, 1020799288, 6492864, 1099279178, 751929
371, 1028413869, 6527851, 1127768055, 1423571
372, 1036023933, 6597699, 1154873990, 2132067
373, 1043666177, 6632955, 1163287004, 2143952
374, 1051436476, 6704032, 1144493220, 1126535
375, 1059128139, 6739573, 1136353317, 676587
376, 1066920259, 6810738, 1138577781, 514855
377, 1074746083, 6846938, 1142851624, 429134
378, 1082603637, 6919342, 1149173492, 7541770
379, 1090500423, 6955829, 1159616866, 427494
37, 3432461, 4126, 3487327, 4126
380, 1098407990, 7028703, 1170100295, 476268
381, 1106392041, 7065483, 1178606762, 486166
382, 1114421228, 7139603, 1187161210, 491499
383, 1122449425, 7176667, 1202047184, 664374
384, 1130532010, 7250888, 1210692402, 638730
385, 1138671672, 7288623, 1221540135, 696699
386, 1146804621, 7364099, 1219537522, 446244
387, 1155001189, 7402137, 1228260759, 450778
388, 1163240844, 7478096, 1239183583, 495162
389, 1171517318, 7516416, 1265519381, 970069
38, 3633616, 4247, 3692909, 4249
390, 1179819816, 7593664, 1278912124, 1101837
391, 1188183728, 7632282, 1287935510, 1104560
392, 1196542727, 7709608, 1276875432, 556239
393, 1204993297, 7748911, 1281466058, 457405
