File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
349,869829747,5441944,1804654157,5426765
34,2851126,2988,3161034,2989
350,876682706,5504265,921687373,282957
351,883512815,5535430,940988976,286123
352,890397152,5597824,939624868,6025661
353,897363180,5629602,1864704320,5613894
354,904346070,5693160,952635750,237995
355,911313554,5725215,963548160,261681
356,918342716,5789211,1120422925,1638577
357,925425822,5821525,974926958,260607
358,932547562,5886700,981508551,3259450
359,939723382,5919290,1957240326,5903135
35,3034513,3008,3155865,3009
360,946894728,5984553,1008498462,7116689
361,954139496,6017764,1035330377,968289
362,961376982,6084209,1011962689,3332233
363,968664828,6117708,1076175362,754486
364,976024224,6184602,1119516431,1055080
365,983400571,6218374,1167651884,1655818
366,990795880,6286473,1042412944,1240797
367,998238880,6320512,2085315302,6303631
368,1005762743,6388692,1097832681,544421
369,1013256689,6423390,1067789280,316060
36,3230432,3070,3374651,3071
370,1020799640,6492775,1089162875,8002307
371,1028414218,6527759,1181059262,1402172
372,1036024285,6597610,1109290265,352363
373,1043666514,6632865,2184943227,6615521
374,1051436822,6703942,1135589737,454227
375,1059128484,6739486,1159730368,638972
376,1066920605,6810651,1211794559,1023283
377,1074746428,6846848,1153078355,685244
378,1082603970,6919251,1147090587,7864179
379,1090500441,6955740,2287749704,6937548
37,3432462,3102,4542850,3102
380,1098407999,7028613,1159829498,274004
381,1106392039,7065388,1167216771,2747313
382,1114421227,7139513,1173669242,3929313
383,1122449441,7176577,2358012446,7158194
384,1130532018,7250796,1197982232,299722
385,1138671665,7288532,1208726593,348916
386,1146804614,7364009,1606309455,4011928
387,1155001209,7402046,1230256674,346579
388,1163240840,7478005,1424961214,2096196
389,1171517309,7516327,2466070142,7497468
38,3633623,3429,3713948,3445
390,1179819823,7593570,1258812562,9311495
391,1188183734,7632192,1283455350,982269
392,1196542727,7709518,1270222927,333747
393,1204993293,7748823,1548334645,3000169
394,1213433642,7827443,1278325252,4256961
395,1221977396,7867056,1292880136,320492
396,1230523153,7946166,1330513061,522259
397,1239046983,7986071,2615132867,7966445
398,1247715252,8066482,1314564724,4423325
399,1256381115,8106697,1445670514,1426407
39,3849087,3473,3957921,3525
400,1265071821,8187198,1338566024,8984934
401,1273803281,8228111,2691909013,8207898
402,1282580188,8309936,1497728078,1603318
403,1291436150,8351152,1385135133,775863
404,1300312076,8433472,1374740692,2558229
405,1309198453,8475000,1380788177,377621
406,1318155490,8558646,1517441139,1453420
407,1327088320,8600477,1418539017,660581
408,1336137146,8684228,1409281600,358669
409,1345223857,8726768,2849918204,8705761
40,4069405,3592,4230499,3749
410,1354323242,8811855,1426336271,1078877
411,1363494017,8854722,1756236605,3408354
412,1372676043,8940326,1451439406,2702779
413,1381869737,8983484,1592523751,1862814
414,1391165769,9070445,1503532714,577254
415,1400513406,9113935,1671424621,2379558
416,1409870599,9200980,1511528325,11123316
417,1419245515,9245192,1829450931,3551023
418,1428702828,9333607,1526785485,11214743
419,1438209964,9378144,3056006350,9356014
41,4296325,3626,5807709,3788
420,1447698807,9467090,1589158205,823416
